Date,Lake,Species,WaterTemp,CPUE,LakeSize,MaxDepth,MeanDepth,SDI,Year,logPop,sdlogPop
11/8/2018,S Twin,BIB,2.4,76.97613325,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
11/8/2018,S Twin,COC,2.4,96.80522515,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
10/15/2018,S Twin,BIB,6.1,89,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
10/15/2018,S Twin,COC,6.1,7,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
4/28/2019,Silver,BIB,8.89,0,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
4/28/2019,Silver,COC,8.89,0,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
10/11/2018,S Twin,BIB,8.9,118,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
10/11/2018,S Twin,COC,8.9,56,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
11/1/2018,N Twin,BIB,9.1,13.03235843,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
11/1/2018,N Twin,COC,9.1,10.43879813,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
10/20/2019,5 Island,BIB,9.777,7.468582132,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
10/20/2019,5 Island,COC,9.777,6.624810817,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
10/14/2019,Blue,COC,10,7,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
10/24/2018,Blue,COC,10,39,108.86,3.56616,1.6764,4.6,2018,11.18636395,0.001045232
10/12/2018,N Twin,BIB,10.6,25.6,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
10/23/2018,Blue,COC,10.6,69,108.86,3.56616,1.6764,4.6,2018,11.18636395,0.001045232
10/12/2018,N Twin,COC,10.6,24,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
10/7/2019,S Twin,BIB,11.66667,45,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
10/7/2019,S Twin,COC,11.66667,22,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
5/7/2019,S Twin,BIB,12.78,11.30058199,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
5/7/2019,S Twin,COC,12.78,6.387901333,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
10/10/2018,N Twin,BIB,12.8,60,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
10/10/2018,N Twin,COC,12.8,4,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
5/13/2019,N Twin,BIB,13,10,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
5/13/2019,N Twin,COC,13,17.33333333,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
5/20/2019,Silver,BIB,13.22,3.607559315,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
5/20/2019,Silver,COC,13.22,8.979131315,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
5/6/2019,N Twin,BIB,14,12,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
5/6/2019,N Twin,COC,14,19,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
10/3/2019,S Twin,BIB,14.44444,14.66666667,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
10/3/2019,S Twin,COC,14.44444,8,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
10/4/2019,N Twin,BIB,15.55556,5.333333333,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
10/4/2019,N Twin,COC,15.55556,12,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
5/15/2019,Storm,BIB,15.56,11.89427313,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
5/15/2019,Storm,COC,15.56,12.57274993,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
5/15/2019,S Twin,BIB,16,219,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
5/15/2019,S Twin,COC,16,17,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
5/27/2019,5 Island,BIB,17.17,2.790033765,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
5/27/2019,5 Island,COC,17.17,4.30952099,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
5/21/2018,S Twin,BIB,17.2,8,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
